Player,Team,Role,Captain,ViceCaptain,Matched_Player,API_Name,Suggested_Match,Match_Type,Matches,Runs,Wickets,Catches,Stumpings,RunOuts,Batting_Points,Bowling_Points,Fielding_Points,Base_Points,Multiplier,Points,snapshot_time
nikolas pooran,sd,NAN,True,False,nicholas pooran,Nicholas Pooran,,exact/alias,1,58,0,2,0,1,88,0,22,114,2,228,2026-07-23T10:44:04.245161+00:00
heinrich klaseen,f9,NAN,False,False,,,richard gleeson,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
ollie pope,sd,NAN,False,False,,,joe root,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tim seifert,ssw,NAN,False,False,,,jamie smith,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
sam billings,cc,NAN,False,False,,,nathan ellis,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tom alsop,sd,NAN,False,False,tom alsop,Tom Alsop,,exact/alias,1,31,0,0,0,0,42,0,0,46,1,46,2026-07-23T10:44:04.245161+00:00
jos buttler,lg,NAN,True,False,,,jofra archer,no_stats_yet,0,0,0,0,0,0,0,0,0,0,2,0,2026-07-23T10:44:04.245161+00:00
thomas rew,f9,NAN,False,False,thomas rew,Thomas Rew,,exact/alias,1,41,0,0,0,0,53,0,0,57,1,57,2026-07-23T10:44:04.245161+00:00
donavan ferreria,cc,NAN,False,False,,,daniel worrall,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
jamie smith,ssw,NAN,False,False,jamie smith,Jamie Smith,,exact/alias,1,3,0,0,0,1,3,0,6,13,1,13,2026-07-23T10:44:04.245161+00:00
asa tribe,cc,NAN,False,False,asa tribe,Asa Tribe,,exact/alias,1,11,0,0,0,0,12,0,0,16,1,16,2026-07-23T10:44:04.245161+00:00
dewald bevis,sd,NAN,False,False,,,adil rashid,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
harry brook,ssw,NAN,False,False,harry brook,Harry Brook,,exact/alias,1,8,0,0,0,0,10,0,0,14,1,14,2026-07-23T10:44:04.245161+00:00
tim david,f9,NAN,False,False,,,rachin ravindra,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
tawanda muyeye,sd,NAN,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
adien markram,lg,NAN,False,False,,,daniel worrall,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
joe root,f9,NAN,True,False,joe root,Joe Root,,exact/alias,1,15,0,1,0,0,17,0,8,29,2,58,2026-07-23T10:44:04.245161+00:00
james vince,ssw,NAN,False,False,james vince,James Vince,,exact/alias,1,17,0,0,0,0,19,0,0,23,1,23,2026-07-23T10:44:04.245161+00:00
ben duckett,cc,NAN,False,False,,,ben mckinney,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
matthew short,lg,NAN,False,False,matthew short,Matthew Short,,exact/alias,1,20,1,1,0,0,24,25,8,61,1,61,2026-07-23T10:44:04.245161+00:00
zak crawley,lg,NAN,False,False,zak crawley,Zak Crawley,,exact/alias,1,13,0,0,0,0,14,0,0,18,1,18,2026-07-23T10:44:04.245161+00:00
marcus stoinis,f9,NAN,False,False,,,marco jansen,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
sam curran,ssw,NAN,True,False,sam curran,Sam Curran,,exact/alias,1,60,2,1,0,0,86,61,8,159,2,318,2026-07-23T10:44:04.245161+00:00
liam livingstone,sd,NAN,False,False,,,james vince,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
will jacks,f9,NAN,False,False,will jacks,Will Jacks,,exact/alias,1,2,0,0,0,0,2,0,0,6,1,6,2026-07-23T10:44:04.245161+00:00
jamie overton,cc,NAN,True,False,,,james vince,no_stats_yet,0,0,0,0,0,0,0,0,0,0,2,0,2026-07-23T10:44:04.245161+00:00
rehan ahmed,ssw,NAN,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
noor ahmed,f9,NAN,False,False,,,abrar ahmed,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
brydon carse,ssw,NAN,False,False,brydon carse,Brydon Carse,,exact/alias,1,4,2,0,0,0,4,53,0,61,1,61,2026-07-23T10:44:04.245161+00:00
richard gleeson,ssw,NAN,False,False,richard gleeson,Richard Gleeson,,exact/alias,1,0,4,0,0,0,0,118,0,122,1,122,2026-07-23T10:44:04.245161+00:00
josh tougue,sd,NAN,False,False,,,james vince,no_stats_yet,0,0,0,0,0,0,0,0,0,0,1,0,2026-07-23T10:44:04.245161+00:00
