Player,Team,Role,Captain,ViceCaptain
nikolas pooran,sd,,Y,
heinrich klaseen,f9,,,
ollie pope,sd,,,
tim seifert,ssw,,,
sam billings,cc,,,
tom alsop,sd,,,
jos buttler,lg,,Y,
thomas rew,f9,,,
donavan ferreria,cc,,,
jamie smith,ssw,,,
asa tribe,cc,,,
dewald bevis,sd,,,
harry brook,ssw,,,
tim david,f9,,,
tawanda muyeye,sd,,,
adien markram,lg,,,
joe root,f9,,Y,
james vince,ssw,,,
ben duckett,cc,,,
matthew short,lg,,,
zak crawley,lg,,,
marcus stoinis,f9,,,
sam curran,ssw,,Y,
liam livingstone,sd,,,
will jacks,f9,,,
jamie overton,cc,,Y,
rehan ahmed,ssw,,,
noor ahmed,f9,,,
brydon carse,ssw,,,
richard gleeson,ssw,,,
josh tougue,sd,,,
luke wood,f9,,,
nathan sowter,f9,,,
jofra archer,cc,,,
lockie fergunson,sd,,,
adam milne,f9,,,
marco jasen,sd,,,
adam zampa,cc,,,
tymal mills,cc,,,
adil rashid,sd,,,
usman tariq,lg,,,
nathan ellis,f9,,,
phil salt,lg,,,
finn allen,sd,,,
tom banton,lg,,,
lhuan dra p,lg,,,
ryan rickelton,ssw,,,
jonny bairstow,f9,,,
jordan cox,cc,,,
james rew,f9,,,
tom kohler,cc,,,
tom abell,sd,,,
josh fillpi,lg,,,
david miller,ssw,,,
jason roy,ssw,,,
will smeed,ssw,,,
joe clarke,sd,,,
tristan stubbs,cc,,,
laurie evans,sd,,,
dan lawrence,sd,,,
david willey,lg,,,
nikhil chaudhary,ssw,,,
rachin ravindra,cc,,,
mitchell marsh,lg,,,
mitchell owen,ssw,,,
craig overton,cc,,,
chris woakes,f9,,,
tom curran,cc,,,
liam dawson,lg,,,
mitchell santner,cc,,,
chris wood,lg,,,
gus atkinson,f9,,,
mustafizur rahman,ssw,,,
chris jordan,ssw,,,
saqib mahmood,lg,,,
reece topley,lg,,,
bradley currie,lg,,,
trent boult,sd,,,
matthew potts,f9,,,
matt henry,cc,,,
